Character,Line
Leslie Knope,Hello.
Leslie Knope,Hi.
Leslie Knope,"My name is Leslie Knope, and I work for the Parks and Recreation Department."
Leslie Knope,Can I ask you a few questions?
Leslie Knope,"Would you say that you are, ""Enjoying yourself and having fun, having a moderate amount of fun and somewhat enjoying yourself, or having no fun and no enjoyment?"""
Leslie Knope,I'm gonna put a lot of fun.
Leslie Knope,"Sir, this is a children's slide."
Leslie Knope,You're not allowed to sleep in here.
Leslie Knope,"You know, when I first tell people that I work in the government, they say, ""Oh."""
Leslie Knope,"""The government."""
Leslie Knope,"""The government stinks."""
Leslie Knope,"""The lines are too long at the DMV."""
Leslie Knope,But now things have changed.
Leslie Knope,People need our help.
Leslie Knope,And it feels good to be needed.
Leslie Knope,Could you put your arms to your side?
Leslie Knope,And that might help you slide down a little easier.
Leslie Knope,Do you want to come this way?
Leslie Knope,"Okay, we're gonna need you to get out."
Leslie Knope,Get out of the slide.
Leslie Knope,Okay?
Leslie Knope,Here we go!
Leslie Knope,"Okay, wake up."
Leslie Knope,Here we go.
Leslie Knope,Out of the slide.
Leslie Knope,"You know, government isn't just a boys' club anymore."
Leslie Knope,Women are everywhere.
Leslie Knope,It's a great time to be a woman in politics.
Leslie Knope,"Hillary Clinton, Sarah Palin, me, Nancy Pelosi."
Leslie Knope,We did it!
Leslie Knope,"You know, I like to tell people, you know, ""Get on board and buckle up, because my ride's gonna be a big one."""
Leslie Knope,"And if you get motion sickness, you know, put your head between your knees 'cause Leslie Knope's stopping for no one."
Leslie Knope,And that is tonight.
Leslie Knope,Right.
Leslie Knope,This is a great thing for you guys to see.
Leslie Knope,This is where the rubber of government meets the road of actual human beings.
Leslie Knope,"When I go through these doors, I need to be on."
Leslie Knope,Like the White House Press Secretary.
Leslie Knope,Are you ready?
Leslie Knope,Okay.
Leslie Knope,Here we go.
Leslie Knope,It's locked.
Leslie Knope,Okay.
Leslie Knope,Here we go.
Leslie Knope,Thank you so much for coming.
Leslie Knope,What an amazing turnout.
Leslie Knope,My name is Leslie Knope.
Leslie Knope,"I am the deputy director of the Parks and Recreation Department, and tonight we're gonna be taking some of your questions as--"
Leslie Knope,Hello?
Leslie Knope,We're having a meeting in here.
Leslie Knope,"So, take two."
Leslie Knope,"I'm Leslie Knope, and with me is department member Tom Haverford."
Leslie Knope,"We are here to answer any and all of your questions, so fire away."
Leslie Knope,I don't like obscenities just as much as you don't like them.
Leslie Knope,Right.
