Character,Line
Abigail,We should let the boys in.
Abigail,Isn't it like Brown vs. The Board of Education?
Abigail,Separate but equal is never really equal.
Adam Vinatieri,How are you going to run in those?
Alexa Softcastle,"Alexa Softcastle, Pawnee Sun."
Alexa Softcastle,Can I ask you a few questions?
Alexa Softcastle,Leslie Knope?
Alexa Softcastle,Some people are saying this isn't the first time that you've had sex with a married councilman.
Alexa Softcastle,Some people.
Alexis Pratchett,"Oh, I'm sorry."
Alexis Pratchett,"Ooh, I'm sorry."
Alexis Pratchett,My name is Alexis Pratchett.
Alexis Pratchett,"Hello and welcome to the Wamapoke County Records Office, here in beautiful Eagleton."
Alexis Pratchett,No.
Alexis Pratchett,It takes three to eight weeks to receive a birth certificate.
All,Forever!
All,Breakfast!
All,which nobody can deny
All,Free Ben Wyatt!
All,Hey!
All,Hey!
All,Sweetums!
All,Aw.
All,Slainte.
All,Catch your dream
All,and shackle it to your heart.
All,Gergich!
All,Hey!
All,Five! Four! Three! Two! One!
All,Surprise!
All,Leslie!
All,What?
All,Free Ben Wyatt!
All,Free Ben Wyatt!
All,Garry! Garry! Garry! Garry! Garry!
All,Yeah.
All,What?
All,Catch your dream don't let it spread its wings and fly away
All,"byebye, Li'l Sebastian I miss you in the saddest fashion byebye, Li'l Sebastian you're 5,000 candles in the wind"
All,"byebye, Li'l Sebastian you're 5,000 candles in the wind"
All,Cheers! Cheers!
All,Yeah!
All,Uh!
All,"""Dazzle."""
All,"""Dazzle."""
All,"""Dazzle."""
All,Leslie!
All,Leslie!
All,Recall Knope!
All,Leslie!
All,Recall Knope!
All,Aw.
All,Leslie!
All,For he's a jolly good fellow
All,Leslie!
All,Catch your
All,Leslie!
All,Leslie!
All,Leslie!
All,Leslie!
All,Leslie!
All,Leslie!
All,Yeah!
All,Ham and mayonnaise!
All,Ham and mayonnaise!
All,Ham and mayonnaise!
All,Leslie!
All,What?
All,Mmm.
All,Leslie!
All,Leslie!
All,Leslie!
All,Go!
All,Leslie!
All,A Garry!
All,Oh!
All,Yeah!
All,Leslie!
All,Trick or treat!
All,Aw!
All,It's the most wonderful time in Pawnee
Allison,I laid out some preliminary plans in this binder.
Allison,They were.
Allison,"Madame Ambassador, are you changing the scenario?"
Allison,You guys know each other?
Allison,I had to order them through some Mexican back channels.
Allison,"They did, but they opened up a new one in Oaxaca."
Allison,"What? Oh, my God!"
Allison,"My name is Cassidy, and I'm really annoyed with you."
Allison,"The theater department did Into the Woods last year, and we still have the scenery."
Allison,"I was thinking the theme could be ""Fairy tale."""
Allison,Yes!
Allison,What?
Allison,We're so excited to see a true Pawnee Model UN legend in action.
Allison,Thanks a lot.
Allison,Thank you so much for coming and trying to help save our club.
Allison,Of course you are.
Allison,I'm not finished.
Allison,"Oh, what am I talking about?"
Allison,Are you Leslie Knope?
Allison,Excuse me.
Allison,"Oh, that's really good."
Allison,We didn't prepare for this.
Allison,We've been making great strides with genetically modified crops and would gladly pledge to continue the growth of--
Allison,I definitely need money for school.
Allison,Definitely!
Allison,Look around.
Allison,I have to say I admire you both.
Allison,"You were right, Leslie."
Allison,"Watching all those happy faces, it felt amazing."
Allison,'Cause you guys suck.
